project_name,url,,
Shashwita Grandeur,/in/buy/projects/page/282888-shashwita-grandeur-by-shashwita-developers-pvt-ltd-in-shadnagar,"'https://housing.com/in/buy/projects/page/282888-shashwita-grandeur-by-shashwita-developers-pvt-ltd-in-shadnagar',",https://housing.com
Garnitha Meadows,/in/buy/projects/page/300783-garnitha-meadows-by-garnitha-builders-hyderabad-in-aminpur,"'https://housing.com/in/buy/projects/page/300783-garnitha-meadows-by-garnitha-builders-hyderabad-in-aminpur',",https://housing.com
SJP E City,/in/buy/projects/page/294925-sjp-e-city-by-sjp-group-in-maheshwaram,"'https://housing.com/in/buy/projects/page/294925-sjp-e-city-by-sjp-group-in-maheshwaram',",https://housing.com
Signature Fortius,/in/buy/projects/page/233237-signature-fortius-by-signature-avenues-in-isnapur,"'https://housing.com/in/buy/projects/page/233237-signature-fortius-by-signature-avenues-in-isnapur',",https://housing.com
4 Blocks,/in/buy/projects/page/250789-4-blocks-by-beams-and-columns-builders-pvt-ltd-in-suchitra,"'https://housing.com/in/buy/projects/page/250789-4-blocks-by-beams-and-columns-builders-pvt-ltd-in-suchitra',",https://housing.com
GHR Titania,/in/buy/projects/page/234311-ghr-titania-by-ghr-infra-in-serilingampally,"'https://housing.com/in/buy/projects/page/234311-ghr-titania-by-ghr-infra-in-serilingampally',",https://housing.com
ASBL Spire,/in/buy/projects/page/251100-asbl-spire-by-ashoka-builders-india-private-limited-in-kokapet,"'https://housing.com/in/buy/projects/page/251100-asbl-spire-by-ashoka-builders-india-private-limited-in-kokapet',",https://housing.com
Hallmark County,/in/buy/projects/page/251207-hallmark-county-by-hallmark-infracon-i-pvt-ltd-in-osman-nagar,"'https://housing.com/in/buy/projects/page/251207-hallmark-county-by-hallmark-infracon-i-pvt-ltd-in-osman-nagar',",https://housing.com
Bhashyam Westerne County,/in/buy/projects/page/293210-bhashyam-westerne-county-by-bhashyam-developers-in-shankarpally,"'https://housing.com/in/buy/projects/page/293210-bhashyam-westerne-county-by-bhashyam-developers-in-shankarpally',",https://housing.com
Sree Kalpa Luxor,/in/buy/projects/page/286014-sree-kalpa-luxor-by-sree-kalpa-projects-in-bachupally,"'https://housing.com/in/buy/projects/page/286014-sree-kalpa-luxor-by-sree-kalpa-projects-in-bachupally',",https://housing.com
APR Vaarahi Praveens Hynora,/in/buy/projects/page/264914-apr-vaarahi-praveens-hynora-by-apr-group-in-gagillapur,"'https://housing.com/in/buy/projects/page/264914-apr-vaarahi-praveens-hynora-by-apr-group-in-gagillapur',",https://housing.com
Anuhar Towers,/in/buy/projects/page/255167-anuhar-towers-by-anuhar-homes-pvt-ltd-in-puppalaguda,"'https://housing.com/in/buy/projects/page/255167-anuhar-towers-by-anuhar-homes-pvt-ltd-in-puppalaguda',",https://housing.com
Ambience Courtyard,/in/buy/projects/page/235465-ambience-courtyard-by-koncept-ambience-in-manikonda,"'https://housing.com/in/buy/projects/page/235465-ambience-courtyard-by-koncept-ambience-in-manikonda',",https://housing.com
Aakriti Miro Block A,/in/buy/projects/page/254329-aakriti-miro-block-a-by-aakriti-constructions-and-developers-pvt-ltd-in-nallagandla,"'https://housing.com/in/buy/projects/page/254329-aakriti-miro-block-a-by-aakriti-constructions-and-developers-pvt-ltd-in-nallagandla',",https://housing.com
NCC Cyber Urbania,/in/buy/projects/page/239373-ncc-cyber-urbania-by-ncc-urban-infrastructure-limited-in-osman-nagar,"'https://housing.com/in/buy/projects/page/239373-ncc-cyber-urbania-by-ncc-urban-infrastructure-limited-in-osman-nagar',",https://housing.com
Sree Kalpa Pristine,/in/buy/projects/page/264979-sree-kalpa-pristine-by-sree-kalpa-projects-in-bachupally,"'https://housing.com/in/buy/projects/page/264979-sree-kalpa-pristine-by-sree-kalpa-projects-in-bachupally',",https://housing.com
Super Homes Abhirama,/in/buy/projects/page/238224-super-homes-abhirama-by-super-homes-constructions-in-lb-nagar,"'https://housing.com/in/buy/projects/page/238224-super-homes-abhirama-by-super-homes-constructions-in-lb-nagar',",https://housing.com
Sri jayavilasini Temple Town,/in/buy/projects/page/273901-sri-jayavilasini-temple-town-by-sri-jayavilasini-developers-and-constructions-pvt-ltd-in-kadthal,"'https://housing.com/in/buy/projects/page/273901-sri-jayavilasini-temple-town-by-sri-jayavilasini-developers-and-constructions-pvt-ltd-in-kadthal',",https://housing.com
PVR Anmol,/in/buy/projects/page/253091-pvr-anmol-by-pvr-developers-in-bachupally,"'https://housing.com/in/buy/projects/page/253091-pvr-anmol-by-pvr-developers-in-bachupally',",https://housing.com
GREENTECH O2 Community,/in/buy/projects/page/262216-greentech-o2-community-by-sri-aditya-squares-in-rameshwaram-banda,"'https://housing.com/in/buy/projects/page/262216-greentech-o2-community-by-sri-aditya-squares-in-rameshwaram-banda',",https://housing.com
Aavasa Emerald,/in/buy/projects/page/264512-aavasa-emerald-by-aavasa-constructions-in-lb-nagar,"'https://housing.com/in/buy/projects/page/264512-aavasa-emerald-by-aavasa-constructions-in-lb-nagar',",https://housing.com
Vistara Delight Heights,/in/buy/projects/page/264221-vistara-delight-heights-by-vistara-projects-in-kompally,"'https://housing.com/in/buy/projects/page/264221-vistara-delight-heights-by-vistara-projects-in-kompally',",https://housing.com
Vasudaika Southfields,/in/buy/projects/page/274473-vasudaika-southfields-by-vasudaika-realty-llp-in-maheshwaram,"'https://housing.com/in/buy/projects/page/274473-vasudaika-southfields-by-vasudaika-realty-llp-in-maheshwaram',",https://housing.com
Greenspace Celestial,/in/buy/projects/page/278392-greenspace-celestial-by-greenspace-housing-and-engineers-in-kokapet,"'https://housing.com/in/buy/projects/page/278392-greenspace-celestial-by-greenspace-housing-and-engineers-in-kokapet',",https://housing.com
Indo Eco O2 Zone Villas,/in/buy/projects/page/283718-indo-eco-o2-zone-villas-by-indo-infra-developers-p-limited-in-ghatkesar,"'https://housing.com/in/buy/projects/page/283718-indo-eco-o2-zone-villas-by-indo-infra-developers-p-limited-in-ghatkesar',",https://housing.com
GVR Green Rich County,/in/buy/projects/page/293580-gvr-green-rich-county-by-gvr-infra-in-kompally,"'https://housing.com/in/buy/projects/page/293580-gvr-green-rich-county-by-gvr-infra-in-kompally',",https://housing.com
